PlanCode	ConversionPlanCode
30T1MH	ULL20M
30T1MH	W19MTC
30T15M	ULA20M
30T15M	ULL20M
30T15M	W19MTC
15P15 	ULA20 
15P15 	ULL20 
15P15 	W19GNC
25T13 	ULA20 
25T13 	ULL20 
25T13 	W19GNC
30T13H	ULA20 
30T13H	ULL20 
30T13H	W19GNC
20P15M	ULA20M
20P15M	ULL20M
20P15M	W19MTC
20T13 	ULA20 
20T13 	ULL20 
20T13 	W19GNC
15T13H	ULA20 
15T13H	ULL20 
15T13H	W19GNC
20P3M 	ULA20M
20P3M 	ULL20M
20P3M 	W19MTC
30P13 	ULA20 
30P13 	ULL20 
30P13 	W19GNC
30P18M	ULA20M
30P18M	ULL20M
30P18M	W19MTC
30T17 	ULA20 
30T17 	ULL20 
30T17 	W19GNC
15P1M 	ULA20M
15P1M 	ULL20M
15P1M 	W19MTC
25T11H	ULA20 
25T11H	ULL20 
25T11H	W19GNC
25P3MH	ULA20M
25P3MH	ULL20M
25P3MH	W19MTC
25P1MH	ULA20M
25P1MH	ULL20M
25P1MH	W19MTC
20T17M	ULA20M
20T17M	ULL20M
20T17M	W19MTC
25P3M 	ULA20M
25P3M 	ULL20M
25P3M 	W19MTC
20T1M 	ULA20M
20T1M 	ULL20M
20T1M 	W19MTC
25P15 	ULA20 
25P15 	ULL20 
25P15 	W19GNC
25T1MH	ULA20M
25T1MH	ULL20M
25T1MH	W19MTC
25T15M	ULA20M
25T15M	ULL20M
25T15M	W19MTC
15P18M	ULA20M
15P18M	ULL20M
15P18M	W19MTC
15T11H	ULA20 
15T11H	ULL20 
15T11H	W19GNC
25T18M	ULA20M
25T18M	ULL20M
25T18M	W19MTC
15T3MH	ULA20M
15T3MH	ULL20M
15T3MH	W19MTC
15T1MH	ULA20M
15T1MH	ULL20M
15T1MH	W19MTC
30P17M	ULA20M
30P17M	ULL20M
30P17M	W19MTC
20P13H	ULA20 
20P13H	ULL20 
20P13H	W19GNC
30P1MH	ULA20M
30P1MH	ULL20M
30P1MH	W19MTC
25P1M 	ULA20M
25P1M 	ULL20M
25P1M 	W19MTC
10T1M 	ULA20M
10T1M 	ULL20M
10T1M 	W19MTC
